rep,zone,n,median,q1,q3,metric
streets,west,48,1.431,1.372,1.539,Db
streets,center,48,1.407,1.33,1.468,Db
streets,east,48,1.433,1.36,1.506,Db
footprints,west,48,1.614,1.559,1.653,Db
footprints,center,48,1.604,1.553,1.653,Db
footprints,east,46,1.618,1.562,1.649,Db
streets,west,48,4.006,3.413,4.644,lam8
streets,center,48,3.866,3.218,4.687,lam8
streets,east,48,3.799,3.353,4.721,lam8
footprints,west,48,2.018,1.847,2.59,lam8
footprints,center,48,2.238,1.927,2.97,lam8
footprints,east,46,2.157,1.793,2.533,lam8
streets,west,48,2.817,2.542,3.39,lam16
streets,center,48,2.635,2.247,3.156,lam16
streets,east,48,2.698,2.43,3.149,lam16
footprints,west,48,1.522,1.365,1.912,lam16
footprints,center,48,1.75,1.487,2.3,lam16
footprints,east,46,1.639,1.44,1.925,lam16
streets,west,48,2.079,1.754,2.22,lam32
streets,center,48,1.812,1.572,2.103,lam32
streets,east,48,1.875,1.625,2.265,lam32
footprints,west,48,1.211,1.134,1.417,lam32
footprints,center,48,1.382,1.206,1.822,lam32
footprints,east,46,1.282,1.168,1.455,lam32
